,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Coal-derived gas,Fossil Gas,Nuclear,Fossil Brown coal/Lignite
2023-01-01 00:00:00+00:00,38.05,89.75,0.0,62.75,0.0,1076.125,0.0
2023-01-01 01:00:00+00:00,0.0,90.45,0.0,188.5,0.0,1076.575,243.6
2023-01-01 02:00:00+00:00,0.0,89.05,0.0,226.85,81.875,1077.65,272.15
2023-01-01 03:00:00+00:00,0.0,86.15,0.0,130.5,0.0,1078.1,242.325
2023-01-01 04:00:00+00:00,138.8,85.525,0.0,207.0,0.0,1077.6,0.0
2023-01-01 05:00:00+00:00,0.0,85.95,0.0,0.0,0.0,1078.45,319.75
2023-01-01 06:00:00+00:00,0.0,86.675,0.0,56.0,0.0,1078.85,95.675
2023-01-01 07:00:00+00:00,0.0,86.225,7.8,229.775,0.0,1078.225,317.925
2023-01-01 08:00:00+00:00,39.925,84.125,0.0,0.0,0.0,1079.1,0.0
2023-01-01 09:00:00+00:00,410.4,84.15,0.0,196.0,0.75,1080.75,244.375
2023-01-01 10:00:00+00:00,0.0,84.025,0.0,200.6,0.0,1081.8,242.975
2023-01-01 11:00:00+00:00,0.0,84.25,0.0,60.0,0.0,1081.65,0.0
2023-01-01 12:00:00+00:00,0.0,84.55,0.0,186.5,0.0,1081.575,442.775
2023-01-01 13:00:00+00:00,0.0,84.65,0.0,196.325,0.0,1082.35,0.0
2023-01-01 14:00:00+00:00,0.0,85.5,0.0,0.0,0.0,1081.15,148.925
2023-01-01 15:00:00+00:00,0.0,85.975,0.0,58.75,0.0,1080.825,274.075
2023-01-01 16:00:00+00:00,141.45,86.875,0.0,0.0,0.0,1081.675,340.9
2023-01-01 17:00:00+00:00,0.0,88.1,0.0,60.0,0.0,1081.25,0.0
2023-01-01 18:00:00+00:00,0.0,85.5,0.0,184.325,0.0,1081.05,243.8
2023-01-01 19:00:00+00:00,36.175,84.775,0.0,0.0,0.0,1080.325,260.225
2023-01-01 20:00:00+00:00,0.0,84.225,0.0,126.75,0.0,1081.325,349.525
2023-01-01 21:00:00+00:00,0.0,83.825,38.75,141.25,0.0,1081.775,0.0
2023-01-01 22:00:00+00:00,0.0,84.475,0.0,51.25,0.0,1080.525,350.275
2023-01-01 23:00:00+00:00,410.4,83.575,0.0,183.575,0.0,1080.625,0.0
