,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Pumped Storage,Hydro Water Reservoir
2023-01-01 00:00:00+00:00,0.3,71.0,33.5,0.0,0.0
2023-01-01 01:00:00+00:00,0.0,0.0,33.5,0.0,0.0
2023-01-01 02:00:00+00:00,0.0,0.0,33.575,0.0,0.0
2023-01-01 03:00:00+00:00,0.0,0.0,33.475,0.0,0.0
2023-01-01 04:00:00+00:00,0.0,0.0,33.475,0.0,0.0
2023-01-01 05:00:00+00:00,0.0,0.0,32.025,0.0,0.0
2023-01-01 06:00:00+00:00,0.0,0.0,30.35,0.0,0.0
2023-01-01 07:00:00+00:00,0.0,0.0,29.775,0.0,0.0
2023-01-01 08:00:00+00:00,0.0,70.0,29.4,0.0,0.0
2023-01-01 09:00:00+00:00,0.0,0.0,28.575,0.0,0.0
2023-01-01 10:00:00+00:00,0.0,0.0,28.375,0.0,0.0
2023-01-01 11:00:00+00:00,0.0,0.0,28.4,0.0,0.0
2023-01-01 12:00:00+00:00,0.0,62.4,28.425,0.0,0.0
2023-01-01 13:00:00+00:00,0.0,0.0,28.5,0.0,0.0
2023-01-01 14:00:00+00:00,0.0,63.875,28.45,0.0,0.0
2023-01-01 15:00:00+00:00,0.0,123.8,28.4,149.3,0.0
2023-01-01 16:00:00+00:00,0.0,0.0,28.35,119.925,0.0
2023-01-01 17:00:00+00:00,0.0,0.0,29.6,203.925,0.0
2023-01-01 18:00:00+00:00,0.0,0.0,29.9,215.75,0.0
2023-01-01 19:00:00+00:00,0.0,75.0,30.625,208.475,0.0
2023-01-01 20:00:00+00:00,0.0,0.0,30.7,213.1,0.0
2023-01-01 21:00:00+00:00,0.0,0.0,30.55,70.5,0.0
2023-01-01 22:00:00+00:00,0.0,0.0,30.5,16.875,0.0
2023-01-01 23:00:00+00:00,0.0,0.0,30.475,0.0,0.0
